8	41	57.37	31	48	5.3
8	41	51.00	31	45	28.6
8	41	40.25	31	44	12.2
8	41	23.92	31	44	54.3
8	41	22.86	31	45	5.6
8	41	41.76	31	40	15.2
8	41	51.59	31	37	14.2
8	42	5.85	31	40	1.6
8	42	14.07	31	37	36.5
8	42	10.12	31	37	12.1
8	42	6.76	31	39	20.6
8	41	36.93	31	43	26.8
8	41	32.79	31	44	11.0
8	41	29.64	31	43	22.1
8	41	33.74	31	42	33.2
8	41	38.04	31	58	42.8
8	41	35.93	31	56	35.2
8	41	33.50	31	56	44.5
8	41	29.81	31	54	54.6
8	41	19.17	31	57	31.2
8	41	16.88	31	57	32.1
8	42	36.77	31	49	5.9
8	42	39.51	31	49	32.8
8	42	34.92	31	50	27.7
8	42	31.29	31	50	45.3
8	42	51.84	31	43	17.1
8	42	48.80	31	44	10.5
8	42	46.17	31	51	44.6
8	42	46.83	31	48	36.0
8	42	54.32	31	48	19.4
8	42	2.32	31	56	29.7
8	42	8.43	31	57	36.3
8	42	12.71	31	56	42.8
8	42	14.67	31	58	8.1
8	42	15.84	31	58	51.4
8	42	33.78	31	59	12.9
8	42	38.27	31	59	24.3
8	42	38.70	31	57	55.4
8	42	35.83	31	55	41.2
8	41	51.45	32	3	41.0
8	41	48.91	32	2	47.6
8	41	41.03	32	1	42.4
8	41	34.44	32	2	4.1
8	41	26.87	31	52	29.3
8	41	28.18	31	50	58.7
8	41	44.72	31	48	36.1
8	41	16.55	31	42	26.1
8	41	12.30	31	43	42.1
8	41	7.54	31	46	18.5
8	41	2.61	31	45	54.2
